trade_date,up_amount,total_amount,up_ratio,n_stocks,n_up
20160104,11441244.1586,594861004.1724,0.01923347484261071,2592,53
20160105,311227855.8676,809763831.4573,0.3843439825010405,2593,773
20160106,667196341.1203,698349045.1632,0.9553909262729503,2597,2481
20160107,6991470.734100001,187560561.89069998,0.03727580395165508,2588,42
20160108,488194829.9199,759804458.8616,0.6425269346949511,2597,1608
20160111,46602099.723500006,662290926.7637,0.07036499797939592,2591,103
20160112,321538759.44799995,549841527.6810001,0.5847844210751323,2590,1526
20160113,64562448.6259,517970352.8388,0.12464506563369426,2586,194
20160114,517160210.56210005,551211180.1669999,0.9382251833234161,2601,2473
20160115,88878481.1638,537359744.9248,0.16539847281682396,2605,268
20160118,378343071.24909997,471822763.4756,0.8018754086006826,2589,2170
20160119,574122579.9373,582296310.5053,0.9859629360163605,2600,2552
20160120,214775998.9003,595060661.4571,0.3609312677036775,2607,818
20160121,42071832.457499996,535307274.9377,0.07859379916403414,2602,142
20160122,367958141.45210004,445739568.9211,0.8255002856101205,2606,2237
20160125,320455947.3574,422255060.20350003,0.7589155881351917,2610,2116
20160126,32722345.483799998,522085423.6907,0.06267622882952915,2612,66
20160127,200874975.5309,509372018.3111,0.3943580886066953,2605,804
20160128,45597336.3109,398763505.80480003,0.11434681370571684,2609,181
20160129,396593519.8102,427992531.9379,0.9266365420314019,2611,2499
20160201,116906759.9271,369929032.73609996,0.31602483066123377,2603,747
20160202,391450525.384,402819103.99459994,0.9717774591674968,2597,2548
20160203,215787667.7845,375756918.68840003,0.5742746362135356,2595,1420
20160204,415425458.3222,441442538.5082,0.9410634954349405,2598,2478
20160205,95548123.36699998,362963087.2719,0.26324473952753147,2599,610
20160215,166932841.7405,328445832.25820005,0.5082507535345117,2597,955
20160216,491929696.4635,499592275.8306,0.9846623341916956,2596,2565
20160217,459165659.0925,569108852.7565,0.806815175811295,2612,2066
20160218,245469640.753,589942275.5794001,0.4160909480710072,2613,924
20160219,288416063.1179,481317867.28699994,0.5992216011917203,2609,1504
20160222,568159072.1104,601635734.0455999,0.9443572579871683,2597,2467
20160223,227265887.10410002,572599001.9774,0.39690234582887035,2595,796
20160224,323622025.4458,580044235.7397,0.5579264571659812,2586,1417
20160225,29939991.5907,665229542.7028999,0.04500700836143049,2584,60
20160226,238950910.6226,485814198.1062,0.49185658128987997,2580,1291
20160229,51536342.80849999,461054262.0438,0.11177934367214255,2577,136
20160301,397503204.92419994,462403753.6114,0.859645281465985,2582,2316
20160302,606627732.0957,613164457.1836,0.9893393607354142,2590,2561
20160303,318193641.1653,663503354.1607001,0.4795659873759036,2587,1181
20160304,201041776.47190002,640514601.3124,0.3138753996551678,2591,399
20160307,421110823.9595,478778173.35069996,0.8795530945205406,2584,2410
20160308,306976515.2055,532657882.8938,0.5763108461622152,2590,1493
20160309,90733148.822,426480466.64410007,0.2127486624087692,2589,344
20160310,63534560.342700005,354945860.0829,0.1789978909117607,2599,312
20160311,144239568.6417,304005003.75570005,0.4744644557153791,2605,1153
20160314,484081945.99899995,503598924.17420006,0.9612449962890529,2607,2543
20160315,158184293.6466,427732650.2357,0.36982047912272614,2610,730
20160316,161236835.28289998,423188828.71320003,0.3810044697379572,2614,583
20160317,548654426.5060999,571712930.4574,0.9596676885848077,2616,2547
20160318,771178648.5859001,816353385.9802,0.9446627671666254,2609,2520
20160321,874715143.3377,902996169.9475,0.9686809008155104,2599,2505
20160322,322566178.05660003,756660377.8553001,0.4263024568180653,2594,903
20160323,493853867.2233,669877637.4486,0.7372299650190869,2601,1831
20160324,218066722.3952,737441564.6379,0.29570712155650675,2588,535
20160325,337090419.9397,553381204.9983001,0.6091468537330167,2589,1806
20160328,222765917.7811,625638424.5434,0.3560617587445621,2585,845
20160329,129923559.2234,537128702.4732001,0.24188534074825857,2576,409
20160330,621106927.3902,627896966.8206,0.9891860611068376,2576,2536
20160331,342227222.1154,696529909.8721,0.4913316962630382,2586,1265
20160401,233757270.0646,582585741.691,0.40124097336488446,2573,906
20160405,685274335.1113999,713229460.9063001,0.9608048638941841,2570,2469
20160406,407006929.5632,700999463.0112,0.5806094740998357,2563,1390
20160407,172614205.2187,698155464.4257,0.24724322019121026,2564,449
20160408,202445578.5683,584616071.1414,0.3462880830029985,2566,744
20160411,583669459.8849001,666966351.4011,0.8751108038040935,2560,2372
20160412,214533107.623,582151186.2087,0.3685178570538725,2563,756
20160413,715910568.8564999,823190238.2504,0.8696781565074057,2575,2189
20160414,493572074.0868,624354007.6894,0.7905324031047773,2566,2055
20160415,261869540.4378,585277322.4842,0.4474281342839306,2567,1057
20160418,173777986.1112,556941029.8528,0.3120222371785567,2566,541
20160419,313524266.4591,505689117.0632,0.6199940949488861,2569,1547
20160420,107818598.19100001,799937773.0569,0.13478373171325517,2569,187
20160421,176289917.2678,541632670.7773,0.3254787363819937,2567,553
20160422,289012072.5992,422124149.2805,0.6846613089817624,2571,1946
20160425,158679139.8462,390776780.1294,0.4060608201788645,2573,902
20160426,307241649.37560004,381713719.25090003,0.804900725021231,2572,2126
20160427,178217477.78570002,427640698.7554,0.41674582962842843,2575,876
20160428,192581134.1767,431195638.5865,0.4466212478586266,2576,912
20160429,167529584.5999,366245324.5446,0.4574245003897623,2580,1033
20160503,521581499.875,537038434.4861,0.9712181966531112,2583,2513
20160504,260480970.933,535111270.65370005,0.48677907795661357,2589,1079
20160505,327110662.5799,473907011.2536,0.6902422939779099,2587,1656
20160506,67798037.3283,661203081.5074,0.10253738862458889,2588,144
20160509,69021743.5129,498996546.95059997,0.13832108445378294,2585,203
20160510,158467167.62629998,346144582.43340003,0.4578062915567655,2587,1291
20160511,150029417.6701,392594028.9691,0.38214900533270313,2587,751
20160512,193725595.32309997,379900280.21599996,0.5099380163998652,2585,924
20160513,147734791.1781,347188683.11259997,0.42551730043051766,2586,894
20160516,330356398.9661,361721060.2203,0.9132904751658697,2585,2370
20160517,199377950.2556,430756517.73679996,0.46285533020634073,2594,987
20160518,82148786.7987,415993486.89,0.1974761369771695,2591,203
20160519,263442495.82930005,375364296.8311,0.7018315222127782,2589,1638
20160520,269843926.8355,365520238.458,0.7382461993729147,2590,2154
20160523,366325372.04219997,418959621.3776,0.8743691595807467,2584,2324
20160524,120044090.41,371272638.73190004,0.3233313686136864,2584,573
20160525,149699164.33900002,371329220.94299996,0.40314404548835453,2592,939
20160526,252172509.6429,391197072.5172,0.6446175786037166,2597,1445
20160527,169224188.8243,378293715.3241,0.44733544853981666,2594,1081
20160530,134043884.65179999,333559518.74590003,0.40185897004460047,2606,792
20160531,625754578.3224,630868450.0866,0.9918939174030688,2600,2569
20160601,438661551.9027,654108037.7532,0.6706255336801263,2595,1477
20160602,437210375.0369,560714325.0622,0.7797381937556176,2588,1939
20160603,344406634.3492,644644187.4395,0.5342584964849663,2604,1388
20160606,293263503.0949,527940067.737,0.555486353502142,2604,1203
20160607,283211848.0489,509075192.6455,0.5563261619116405,2614,1136
20160608,233543444.9869,545788361.2248,0.42790110888917954,2612,847
20160613,55229644.3213,588974856.7087,0.0937724992709085,2613,128
20160614,226020010.71490002,412627553.7707,0.547757920307234,2612,1438
20160615,565203137.2528,572968703.9056,0.9864467874076428,2613,2572
20160616,313393297.8058,593907208.3568,0.5276805760160493,2613,935
20160617,355118843.5148,570439525.9011,0.622535479030548,2610,1812
20160620,301183782.37310004,500077912.7903,0.6022737150948653,2612,1268
20160621,183072068.2905,592742230.4351,0.3088561247882013,2611,595
20160622,419667406.1518,485936180.35719997,0.8636265894902343,2620,2350
20160623,220665094.51410002,523507170.6845,0.4215130314749545,2617,846
