trade_date,rzmre_sse,rzmre_szse,rzmre_total
20210104,59792059099.0,63579254665.0,123371313764.0
20210105,64068720689.0,65351004913.0,129419725602.0
20210106,55516064817.0,57109880945.0,112625945762.0
20210107,59965393124.0,61491357661.0,121456750785.0
20210108,52918009775.0,55905828991.0,108823838766.0
20210111,56336207102.0,61940601910.0,118276809012.0
20210112,57361406150.0,58648780801.0,116010186951.0
20210113,64017454573.0,65979576752.0,129997031325.0
20210114,57155041776.0,55474434960.0,112629476736.0
20210115,51163771731.0,48319703393.0,99483475124.0
20210118,49647422370.0,51541487218.0,101188909588.0
20210119,51955888008.0,49873171464.0,101829059472.0
20210120,44656991305.0,44280177123.0,88937168428.0
20210121,53942981845.0,58599753632.0,112542735477.0
20210122,54522258866.0,57027205979.0,111549464845.0
20210125,60567215502.0,64302090646.0,124869306148.0
20210126,45345746275.0,49404197876.0,94749944151.0
20210127,40145362869.0,43808224364.0,83953587233.0
20210128,39663396119.0,43046709040.0,82710105159.0
20210129,40134151406.0,40209253717.0,80343405123.0
20210201,33787419612.0,38591211838.0,72378631450.0
20210202,37533872673.0,43791400423.0,81325273096.0
20210203,42621756166.0,46382278736.0,89004034902.0
20210204,41486860920.0,41514606588.0,83001467508.0
20210205,39256505179.0,39593925304.0,78850430483.0
20210208,33386752258.0,36602576329.0,69989328587.0
20210209,40412055719.0,41599561808.0,82011617527.0
20210210,39732264789.0,42405047991.0,82137312780.0
20210218,57592470219.0,60005329902.0,117597800121.0
20210219,54940481670.0,51286033729.0,106226515399.0
20210222,70756180553.0,63307656848.0,134063837401.0
20210223,48043375715.0,44037159829.0,92080535544.0
20210224,49327003200.0,48609586471.0,97936589671.0
20210225,45910107347.0,38796458290.0,84706565637.0
20210226,40358250701.0,34250714173.0,74608964874.0
20210301,39826789094.0,33879403161.0,73706192255.0
20210302,42318072306.0,36875616252.0,79193688558.0
20210303,39984005981.0,33284016535.0,73268022516.0
20210304,44587579185.0,38511131538.0,83098710723.0
20210305,38603742759.0,33731496910.0,72335239669.0
20210308,43602898883.0,39824533373.0,83427432256.0
20210309,39315458528.0,36473836390.0,75789294918.0
20210310,28777814657.0,26569578226.0,55347392883.0
20210311,35137589573.0,32772360455.0,67909950028.0
20210312,35109661371.0,31022599949.0,66132261320.0
20210315,36875911204.0,32479211178.0,69355122382.0
20210316,30250377088.0,28697268021.0,58947645109.0
20210317,29039426432.0,29484706994.0,58524133426.0
20210318,29354524810.0,30529375779.0,59883900589.0
20210319,30074027009.0,30710574397.0,60784601406.0
20210322,30745425911.0,31607691167.0,62353117078.0
20210323,29564844757.0,31164419375.0,60729264132.0
20210324,30179125610.0,29880452265.0,60059577875.0
20210325,22927278853.0,25952978809.0,48880257662.0
20210326,27927807443.0,30817866564.0,58745674007.0
20210329,29267194510.0,30999221472.0,60266415982.0
20210330,29631171999.0,28559177266.0,58190349265.0
20210331,28198849972.0,25447661702.0,53646511674.0
20210401,27957193285.0,26780169441.0,54737362726.0
20210402,29811143961.0,31278781714.0,61089925675.0
20210406,28231697364.0,31447318798.0,59679016162.0
20210407,29228878414.0,32254201133.0,61483079547.0
20210408,31653267123.0,30693144466.0,62346411589.0
20210409,27075190407.0,27866716873.0,54941907280.0
20210412,28873800028.0,31462002243.0,60335802271.0
20210413,23061667437.0,26425725618.0,49487393055.0
20210414,24228232053.0,28187239684.0,52415471737.0
20210415,23704746678.0,27494664633.0,51199411311.0
20210416,25825496200.0,27179025401.0,53004521601.0
20210419,34976133831.0,39144889661.0,74121023492.0
20210420,33588880620.0,37590658774.0,71179539394.0
20210421,29268825126.0,30993627205.0,60262452331.0
20210422,29048400797.0,32640986122.0,61689386919.0
20210423,29826488858.0,35413710005.0,65240198863.0
20210426,38417202066.0,42418329357.0,80835531423.0
20210427,29825458175.0,32147604759.0,61973062934.0
20210428,33983698073.0,34818923699.0,68802621772.0
20210429,35635083363.0,35154296820.0,70789380183.0
20210430,36829069449.0,35637243912.0,72466313361.0
20210506,39783452654.0,39133296689.0,78916749343.0
20210507,40747653569.0,37104911198.0,77852564767.0
20210510,39763830509.0,35168804423.0,74932634932.0
20210511,38332066610.0,34480584868.0,72812651478.0
20210512,33079658103.0,32479136125.0,65558794228.0
20210513,34527892725.0,33324912659.0,67852805384.0
20210514,42976802579.0,40244528326.0,83221330905.0
20210517,42543040132.0,41288023577.0,83831063709.0
20210518,35682191958.0,36995368667.0,72677560625.0
20210519,37542704957.0,40322619547.0,77865324504.0
20210520,38063059561.0,37384597334.0,75447656895.0
20210521,33088299956.0,35874227082.0,68962527038.0
20210524,35978153268.0,37989842771.0,73967996039.0
20210525,47786319801.0,43834038604.0,91620358405.0
20210526,47285027257.0,43486022858.0,90771050115.0
20210527,43663317475.0,41706719143.0,85370036618.0
20210528,46937250469.0,47278650701.0,94215901170.0
20210531,48051805038.0,46992647705.0,95044452743.0
20210601,48419949351.0,46929119608.0,95349068959.0
20210602,44860057103.0,43083184694.0,87943241797.0
20210603,43633522404.0,40147021259.0,83780543663.0
20210604,41762305697.0,39752018336.0,81514324033.0
20210607,43242508531.0,41622765241.0,84865273772.0
20210608,42617807399.0,43492837656.0,86110645055.0
20210609,37514123480.0,35638624937.0,73152748417.0
20210610,43091332729.0,44890374045.0,87981706774.0
20210611,46654028231.0,48308513528.0,94962541759.0
20210615,41401213886.0,43857044737.0,85258258623.0
20210616,35873363148.0,37677645218.0,73551008366.0
20210617,38138621260.0,39142038365.0,77280659625.0
20210618,45162874854.0,44301084679.0,89463959533.0
20210621,41856642056.0,46706088977.0,88562731033.0
20210622,42217943380.0,44626420784.0,86844364164.0
20210623,47863196438.0,48689818333.0,96553014771.0
20210624,42346827777.0,41993091407.0,84339919184.0
20210625,47328461295.0,46573308392.0,93901769687.0
20210628,47922630182.0,48141420637.0,96064050819.0
20210629,42600865590.0,43308255717.0,85909121307.0
20210630,44505649291.0,45047374694.0,89553023985.0
20210701,45824988192.0,47598839050.0,93423827242.0
20210702,42976990424.0,40791436289.0,83768426713.0
20210705,43066238704.0,42074660702.0,85140899406.0
20210706,47946515849.0,47362957788.0,95309473637.0
20210707,48316967173.0,46992646029.0,95309613202.0
20210708,55077237551.0,53655302336.0,108732539887.0
20210709,48759691637.0,51163199461.0,99922891098.0
20210712,60029647754.0,63325758317.0,123355406071.0
20210713,52999475374.0,59487573595.0,112487048969.0
20210714,49127695555.0,57678550723.0,106806246278.0
20210715,49569635475.0,53736090375.0,103305725850.0
20210716,54210169393.0,54945423879.0,109155593272.0
20210719,47652085060.0,49571149694.0,97223234754.0
20210720,39771819830.0,40857871457.0,80629691287.0
20210721,56322486216.0,59158651929.0,115481138145.0
20210722,60847410671.0,59355072917.0,120202483588.0
20210723,64333614411.0,61585537125.0,125919151536.0
20210726,66240315749.0,59292521674.0,125532837423.0
20210727,71454914962.0,63256420043.0,134711335005.0
20210728,48356000041.0,45664840145.0,94020840186.0
20210729,54235311628.0,53183307552.0,107418619180.0
20210730,54021721651.0,60060221216.0,114081942867.0
20210802,68516927730.0,71242022078.0,139758949808.0
20210803,57995438660.0,61997666868.0,119993105528.0
20210804,56117682644.0,60429763880.0,116547446524.0
20210805,54638374264.0,60250915400.0,114889289664.0
20210806,53337436391.0,56710770921.0,110048207312.0
20210809,54715347711.0,57321083041.0,112036430752.0
20210810,52545175434.0,60875541068.0,113420716502.0
20210811,53852472884.0,57625927364.0,111478400248.0
20210812,55756608511.0,58387529109.0,114144137620.0
20210813,53515465795.0,57126214842.0,110641680637.0
20210816,51451588746.0,51948703852.0,103400292598.0
20210817,53096929565.0,50620494009.0,103717423574.0
20210818,53111294208.0,47547767611.0,100659061819.0
20210819,51429984562.0,48551662715.0,99981647277.0
20210820,49629607117.0,49779961031.0,99409568148.0
20210823,59821872994.0,56782892937.0,116604765931.0
20210824,64950589822.0,59882860848.0,124833450670.0
20210825,59483131832.0,51785048349.0,111268180181.0
20210826,64515650603.0,54034604442.0,118550255045.0
20210827,57941035122.0,54503584507.0,112444619629.0
20210830,71793951316.0,68283657785.0,140077609101.0
20210831,69614291662.0,58045623625.0,127659915287.0
20210901,86597069009.0,64558968331.0,151156037340.0
20210902,70371946215.0,54920372422.0,125292318637.0
20210903,75719281139.0,60293615058.0,136012896197.0
20210906,66674031592.0,58704776946.0,125378808538.0
20210907,70057212943.0,58586084723.0,128643297666.0
20210908,71760709336.0,63968658797.0,135729368133.0
20210909,71655913658.0,58795843222.0,130451756880.0
20210910,80842562738.0,62580537347.0,143423100085.0
20210913,74688081068.0,59593024160.0,134281105228.0
