date,variety,long_top20,short_top20,net_top20
20160104,IF,42240,42954,-714
20160105,IF,45240,46818,-1578
20160106,IF,43094,43698,-604
20160107,IF,40842,41242,-400
20160108,IF,42168,42752,-584
20160111,IF,39142,39238,-96
20160112,IF,33400,34160,-760
20160113,IF,25528,26242,-714
20160114,IF,54824,57274,-2450
20160115,IF,48762,49494,-732
20160118,IF,51974,54204,-2230
20160119,IF,53888,55752,-1864
20160120,IF,54622,56012,-1390
20160121,IF,56718,58086,-1368
20160122,IF,57620,60120,-2500
20160125,IF,58334,59894,-1560
20160126,IF,60180,61266,-1086
20160127,IF,62256,63970,-1714
20160128,IF,62166,63968,-1802
20160129,IF,61398,64394,-2996
20160201,IF,60966,61778,-812
20160202,IF,60472,62486,-2014
20160203,IF,60082,62036,-1954
20160204,IF,59986,62482,-2496
20160205,IF,55976,58202,-2226
20160215,IF,56626,58576,-1950
20160216,IF,55862,58864,-3002
20160217,IF,54974,57346,-2372
20160218,IF,55104,56978,-1874
20160219,IF,50468,52646,-2178
20160222,IF,52970,55326,-2356
20160223,IF,53344,55348,-2004
20160224,IF,54936,56436,-1500
20160225,IF,56416,57236,-820
20160226,IF,56268,57512,-1244
20160229,IF,56828,58432,-1604
20160301,IF,56018,57342,-1324
20160302,IF,57768,59314,-1546
20160303,IF,55380,56696,-1316
20160304,IF,55220,55494,-274
20160307,IF,54618,55624,-1006
20160308,IF,53494,53976,-482
20160309,IF,51634,51814,-180
20160310,IF,49456,48998,458
20160311,IF,46576,46080,496
20160314,IF,41876,42048,-172
20160315,IF,55074,55038,36
20160316,IF,54684,53532,1152
20160317,IF,54030,53694,336
20160318,IF,46362,47604,-1242
20160321,IF,50948,52222,-1274
20160322,IF,52392,52748,-356
20160323,IF,52970,53670,-700
20160324,IF,52192,52230,-38
20160325,IF,52006,52442,-436
20160328,IF,53316,53360,-44
20160329,IF,52488,52094,394
20160330,IF,51864,53188,-1324
20160331,IF,52776,52420,356
20160401,IF,53992,53216,776
20160405,IF,54916,55668,-752
20160406,IF,54624,53906,718
20160407,IF,54032,52732,1300
20160408,IF,51116,49958,1158
20160411,IF,45634,45274,360
20160412,IF,54816,53622,1194
20160413,IF,55354,55292,62
20160414,IF,52396,52422,-26
20160415,IF,47050,45830,1220
20160418,IF,48902,47378,1524
20160419,IF,49596,48194,1402
20160420,IF,68412,66196,2216
20160421,IF,68744,66486,2258
20160422,IF,51822,49276,2546
20160425,IF,51154,48358,2796
20160426,IF,51024,48626,2398
20160427,IF,51060,48190,2870
20160428,IF,68862,67008,1854
20160429,IF,67416,65680,1736
20160503,IF,68622,67980,642
20160504,IF,67288,66692,596
20160505,IF,67130,66836,294
20160506,IF,68014,65720,2294
20160509,IF,65870,64266,1604
20160510,IF,65112,63570,1542
20160511,IF,64594,62274,2320
20160512,IF,64634,63146,1488
20160513,IF,63612,61430,2182
20160516,IF,63502,60930,2572
20160517,IF,62678,59594,3084
20160518,IF,62182,59420,2762
20160519,IF,60932,58318,2614
20160520,IF,56738,53186,3552
20160523,IF,56738,53496,3242
20160524,IF,56638,52750,3888
20160525,IF,57706,53694,4012
